Synthetic100-2	2.8719490663203402E-11
Synthetic100-4	2.8719490663203402E-11
Synthetic100-3	2.8719490663203402E-11
RALIC-5	8.562993904900892E-11
Synthetic30-3	2.8719490663203402E-11
RALIC-4	5.7729863008733963E-11
Synthetic30-4	2.8719490663203402E-11
Synthetic50-5	2.8719490663203402E-11
Synthetic100-5	2.8719490663203402E-11
RALIC-3	7.03394552480195E-11
Synthetic30-5	2.8719490663203402E-11
RALIC-2	2.8719490663203402E-11
WordProcessing-5	2.8719490663203402E-11
Synthetic50-2	5.31674280364282E-10
WordProcessing-4	2.8719490663203402E-11
Synthetic50-4	2.8719490663203402E-11
Synthetic200-5	2.8719490663203402E-11
Synthetic30-2	1.149927473484834E-6
Synthetic50-3	2.8719490663203402E-11
Synthetic200-4	2.8719490663203402E-11
Synthetic200-3	2.8719490663203402E-11
Synthetic200-2	2.8719490663203402E-11
WordProcessing-3	7.043620777040629E-10
WordProcessing-2	0.0010855630297854852
RPlanner-4	2.8719490663203402E-11
RPlanner-3	2.8719490663203402E-11
RPlanner-2	4.26655443220909E-6
RPlanner-5	2.8719490663203402E-11
COUNCIL-2	3.509757696808493E-11
COUNCIL-3	2.8719490663203402E-11
COUNCIL-4	2.8719490663203402E-11
COUNCIL-5	2.8719490663203402E-11
