S/N , Release 1 , Release 2 , Release 3 , Release 4 , ENPV('000£) , Satisfaction Score
1 , "L" , "G->I" , "1->2" , "O" , 34.46 , 0.0
2 , "L" , "G->I" , "1->2" , "B" , 17.68 , 0.0
